theta,max_eval_steps,runtime_s,max_abs_diff_v,policy_same
0.01,10,4.989890813827515,0.001778176564982914,True
0.01,50,14.336097955703735,0.0017762733143769083,True
0.01,100,22.623071908950806,0.0017762733143769083,True
0.01,200,42.41813087463379,0.0017762733143769083,True
0.001,10,5.093194007873535,0.00016128605579979194,True
0.001,50,14.928699016571045,1.0733374026017373e-05,True
0.001,100,23.539473295211792,1.0733374026017373e-05,True
0.001,200,43.576817750930786,1.0733374026017373e-05,True
0.0001,10,5.0614471435546875,1.0736564092894696e-05,True
0.0001,50,15.037108898162842,0.0,True
0.0001,100,23.964750051498413,0.0,True
0.0001,200,44.69414186477661,0.0,True
1e-05,10,5.131584882736206,2.4564407254956677e-06,True
1e-05,50,15.487438201904297,1.0041675579941511e-07,True
1e-05,100,24.56863284111023,1.0041675579941511e-07,True
1e-05,200,47.032209157943726,1.0041675579941511e-07,True
